model_name,model_id,variant_id,instance_id,parent_id,precision,quant_dataset,test_dataset
YOLOv6 Nano,face58c4-45ab-42a0-bafc-19f9fee8a034,3bfcbd86-9603-4527-b997-ededeb304609,cf58690e-81ab-4a11-8683-c4486d82612d,57fb6e9b-3157-44e7-9a1d-40254deb5313,,9a0a728a-802b-4441-b25c-4530c5b98367,881c017c-ad39-435a-a690-b583db6e9244
YOLOv6 Nano,face58c4-45ab-42a0-bafc-19f9fee8a034,3bfcbd86-9603-4527-b997-ededeb304609,45a299e3-54b5-4d36-9cb1-0e51eed94879,20fc6e55-e194-434f-bb15-121d96764b3a,INT8,9a0a728a-802b-4441-b25c-4530c5b98367,881c017c-ad39-435a-a690-b583db6e9244
YOLOv10 Nano,03153a9a-06f7-4ce9-b655-3762d21d0a8a,90e9d21a-3912-4fc3-a751-31d74a488ce3,55e07111-95f8-4798-84c7-90b3aec8f7c6,666b7714-88a7-4462-9c47-7ad5dddf5d10,,daf52815-5168-482f-b8b4-2c0549907dbf,881c017c-ad39-435a-a690-b583db6e9244
YOLOv6 Large,7937248a-c310-4765-97db-0850086f2dd9,b572bb75-6fe6-4030-b299-a6acbde1427b,4e6f2bd7-e617-4125-99aa-2290a0d41a7b,0893e9be-d5b6-4885-896a-e6b75bc7f796,INT8,daf52815-5168-482f-b8b4-2c0549907dbf,881c017c-ad39-435a-a690-b583db6e9244
YOLOv6 Large,7937248a-c310-4765-97db-0850086f2dd9,b572bb75-6fe6-4030-b299-a6acbde1427b,192846a3-d426-416c-82cc-b3478395b729,0893e9be-d5b6-4885-896a-e6b75bc7f796,,daf52815-5168-482f-b8b4-2c0549907dbf,881c017c-ad39-435a-a690-b583db6e9244
YuNet,5d635f3c-45c0-41d2-8800-7ca3681b1915,ecf6324a-4d09-44d8-a65b-179149c774bd,067d3ffe-44ef-4e43-adba-161bec1e7f63,68af7a36-0265-4103-8e36-b1f1d41b584b,INT8,0473b830-8b0a-4c37-a156-eec62bbc321e,83968af5-8a4a-4146-802b-ae23c46bbfcc
YuNet,5d635f3c-45c0-41d2-8800-7ca3681b1915,a73585da-cd7a-4b7b-8ad7-423d9bd575ee,551174d8-8187-4b57-8df5-68f0b5bb8127,d6ccf18c-fee3-4105-96e1-77713ea3983d,INT8,0473b830-8b0a-4c37-a156-eec62bbc321e,83968af5-8a4a-4146-802b-ae23c46bbfcc
YuNet,5d635f3c-45c0-41d2-8800-7ca3681b1915,7e1608ab-f197-49eb-a181-12ebcda4c913,1838805e-b52e-4c00-b6ff-22cf09e99832,d3edac74-b9f0-42af-b341-d8fe434ccb4b,INT8,0473b830-8b0a-4c37-a156-eec62bbc321e,83968af5-8a4a-4146-802b-ae23c46bbfcc
YuNet,5d635f3c-45c0-41d2-8800-7ca3681b1915,42165749-559b-47b5-b55a-916321cff3bd,81a5bfec-13cd-4bd3-93de-61a1593f9710,f5da69b8-4947-4bad-a772-644ccd12a391,INT8,0473b830-8b0a-4c37-a156-eec62bbc321e,83968af5-8a4a-4146-802b-ae23c46bbfcc
MediaPipe Hand Landmarker,42815cca-deab-4860-b4a9-d44ebbe2988a,b586e065-16f6-4b12-ac74-c79e851c48be,1583e138-de38-47b7-b232-d8fd580dad3e,1265bb1a-7b1e-4ca7-8fb1-7b8d8e22a059,INT8,61b63724-fe80-4e99-a790-07d362cde2a1,d3ccbb54-aec3-4494-a416-cc7b86f9f2b7
