Model Name,Model ID,Quant. Dataset ID,Test Dataset ID
Barcode detection,75edea0f-79c9-4091-a48c-f81424b3ccab,96feba88-8f63-4d2a-bc2a-604c9dfd3e92,45028026-75f3-4f13-8c97-5b7fc1f8cf6f
DM-Count (shb),16d01eab-dc2b-4422-907d-2634a940b52e,dbe7caff-88e4-4a4a-bbd9-ba1ac88d4710,b5c5ef78-4011-4405-866e-607768241cac
DM-Count (sha),16d01eab-dc2b-4422-907d-2634a940b52e,ecc5dbd8-4aa2-45a2-b2e3-bde62a88c3a3,b5c5ef78-4011-4405-866e-607768241cac
DM-Count (qnrf),16d01eab-dc2b-4422-907d-2634a940b52e,ec962fc2-5161-407d-b769-19537365a77d,b5c5ef78-4011-4405-866e-607768241cac
Vehicle attributes classification,2e960091-33bd-49d1-9217-1e242961ba7e,d75eeee6-0bb0-474f-b259-6a88af4e4138,ce117f2e-e23a-4f9e-9211-a5b222682452
EfficientNet-Lite,fdacd30d-97f4-4c55-843f-8b7e872d8acb,dac1681a-02f8-4ed4-bde6-4dad5fd7da0a,3ad8074e-4677-4a40-98ba-83283ef94ab4
YoloV6 Nano,face58c4-45ab-42a0-bafc-19f9fee8a034,9a0a728a-802b-4441-b25c-4530c5b98367,881c017c-ad39-435a-a690-b583db6e9244
YOLOv10 Nano,03153a9a-06f7-4ce9-b655-3762d21d0a8a,daf52815-5168-482f-b8b4-2c0549907dbf,881c017c-ad39-435a-a690-b583db6e9244
YOLOv8 Nano Pose Estimation,12acd8d7-25c0-4a07-9dff-ab8c5fcae7b1,daf52815-5168-482f-b8b4-2c0549907dbf,17a2018b-e95c-42ad-9a7e-3e686786e3ee
FastSAM s,4af2416c-2ba4-4c85-97d0-fd26f089fc69,daf52815-5168-482f-b8b4-2c0549907dbf,881c017c-ad39-435a-a690-b583db6e9244
FastSAM x,e7d3a0cf-7c1f-4e72-8c0c-9e2fcf53ca24,daf52815-5168-482f-b8b4-2c0549907dbf,881c017c-ad39-435a-a690-b583db6e9244
YOLOv8 Instance Segmentation Large,698b881d-2e98-45d0-bc72-1121d2eb2319,daf52815-5168-482f-b8b4-2c0549907dbf,881c017c-ad39-435a-a690-b583db6e9244
YOLOv8 Large Pose Estimation,8be178a0-e643-4f1e-b925-06512e4e15c7,daf52815-5168-482f-b8b4-2c0549907dbf,17a2018b-e95c-42ad-9a7e-3e686786e3ee
YOLOv8 Instance Segmentation Nano,9c1ea8c4-7ab4-46d2-954b-de237c7b4a05,daf52815-5168-482f-b8b4-2c0549907dbf,881c017c-ad39-435a-a690-b583db6e9244
YOLOv6 Large,7937248a-c310-4765-97db-0850086f2dd9,daf52815-5168-482f-b8b4-2c0549907dbf,881c017c-ad39-435a-a690-b583db6e9244
License Plate Detection,7ded2dab-25b4-4998-9462-cba2fcc6c5ef,daf52815-5168-482f-b8b4-2c0549907dbf,881c017c-ad39-435a-a690-b583db6e9244
YuNet,5d635f3c-45c0-41d2-8800-7ca3681b1915,0473b830-8b0a-4c37-a156-eec62bbc321e,83968af5-8a4a-4146-802b-ae23c46bbfcc
